x,y,w,h,labels,scores,names,calories,protein,fat,carbs,fiber
0.0,7.4988303,151.84297,172.50117,11.0,0.31375802,Broccoli,34.0,2.82,0.37,6.64,2.6
0.0,41.528404,155.11665,138.47159,18.0,0.20017852,Common fig,74.0,0.75,0.3,19.18,2.9
0.0,28.165531,151.10591,151.83447,22.0,0.18774855,Grape,69.0,0.72,0.16,18.1,0.9
0.0,29.597725,156.96446,150.40228,23.0,0.21667418,Guacamole,121.6008930104757,1.7573690537523614,10.181782586295725,8.746812639532886,5.267834449596427
0.0,0.0,165.26187,144.73088,30.0,0.19399285,Popcorn,500.0,9.0,28.1,58.1,10.0
7.2422266,121.41903,59.66964,46.455757,45.0,0.25797066,Fruit,62.445918846148274,1.068929998680547,0.7958801503147666,13.771027695133638,1.7075528158443918
37.775246,45.930183,90.910866,94.84103,59.0,0.16722646,Pineapple,50.0,0.54,0.12,13.12,1.4
0.0,0.0,178.9647,140.64578,60.0,0.34188783,Pizza,268.0,10.36,12.28,29.02,2.2
7.2422266,121.41903,59.66964,46.455757,62.0,0.22659981,Potato,146.92408452479484,4.6310558122560215,8.452453747550557,13.693227396186387,1.597136029237388
0.0,13.076372,154.484,166.92363,62.0,0.22442919,Potato,146.92408452479484,4.6310558122560215,8.452453747550557,13.693227396186387,1.597136029237388
0.0,80.64613,28.712694,52.9003,62.0,0.1912711,Potato,146.92408452479484,4.6310558122560215,8.452453747550557,13.693227396186387,1.597136029237388
