x,y,w,h,labels,scores,names,calories,protein,fat,carbs,fiber
96.52466,64.36021,83.47534,81.37676,2.0,0.3104144,Apple,52.0,0.26,0.17,13.81,2.4
0.0,37.57719,152.63078,142.4228,2.0,0.1879751,Apple,52.0,0.26,0.17,13.81,2.4
12.94106,45.589455,167.05894,134.41055,9.0,0.17031398,Bell pepper,31.0,0.99,0.3,6.03,2.1
96.55144,100.35736,77.65869,79.64264,11.0,0.3430188,Broccoli,34.0,2.82,0.37,6.64,2.6
38.893867,0.0,141.10614,145.40921,15.0,0.21374162,Candy,480.0,4.2,30.0,63.9,5.9
96.26025,63.97322,83.73975,82.29384,29.0,0.3295648,Pear,57.0,0.36,0.14,15.23,3.1
11.531661,44.70974,123.06624,135.29025,42.0,0.2559135,Cucumber,15.0,0.65,0.11,3.63,0.5
102.38241,5.090687,77.61759,85.57005,42.0,0.19408746,Cucumber,15.0,0.65,0.11,3.63,0.5
96.8434,64.26696,83.1566,80.46354,45.0,0.31133392,Fruit,62.445918846148274,1.068929998680547,0.7958801503147666,13.771027695133638,1.7075528158443918
72.259865,80.63042,73.8458,75.586365,62.0,0.79780716,Potato,146.92408452479484,4.6310558122560215,8.452453747550557,13.693227396186387,1.597136029237388
2.79042,113.89486,104.79682,66.10514,62.0,0.56053585,Potato,146.92408452479484,4.6310558122560215,8.452453747550557,13.693227396186387,1.597136029237388
